uid;name;adm_level;latitude;longitude;country_code;country_name;country_uid;provider;g0;g1;g2;g3;g4
osm_392025;La Tortue;3;20.04489911;-72.78901981;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393379;osm_392025;
osm_391380;La Vallee de Jacmel;3;18.28575226;-72.68185439;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394516;osm_391380;
osm_392062;La Victorie;3;19.35070232;-72.02192542;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_395432;osm_392062;
osm_392088;Lascahobas;3;18.83329693;-71.9533812;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393488;osm_392088;
osm_389275;L'Asile;3;18.37683958;-73.4359084;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393324;osm_389275;
osm_387137;Leogane;3;18.4398806;-72.58839001;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387650;osm_387137;
osm_391199;Les Anglais;3;18.35118865;-74.17663736;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394519;osm_391199;
osm_390402;Les Cayes;3;18.26194866;-73.7643151;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394518;osm_390402;
osm_388824;Les Irois;3;18.39762238;-74.38239024;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393396;osm_388824;
osm_392108;L'Estere;3;19.3558478;-72.62151485;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392359;osm_392108;
osm_388625;Limbe;3;19.65785671;-72.409321;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394493;osm_388625;
osm_389623;Limonade;3;19.66977898;-72.10876323;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394467;osm_389623;
osm_392074;Maissade;3;19.18841148;-72.17897986;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393486;osm_392074;
osm_389537;Maniche;3;18.37255554;-73.75158202;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394518;osm_389537;
osm_387125;Marigot;3;18.28690105;-72.29653521;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394516;osm_387125;
